E_exfoliationperAtom,MPE,Bond_mean,Bond_max,R_atom,R_vdw,R_cov,D_EN,m_atom,N_mendeleev,I,DP,Density,T_boil,T_melt,H_spec,H_fuse,H_evap,TC,EA
0.066845664,0.4034716060213019,3.1094914533275215,3.252800001587958,210.0,303.5,201.0,1.12,150.83797,130.5,13.863999999999999,82.9,7.0,2237.5,1353.2,0.523,24.92,253.25,21.9,3.0985367999999998
,0.3129231597150748,3.0989578998019973,3.1609749675435648,222.5,276.0,209.0,0.7399999999999998,85.185,124.0,11.95,92.7,5.0,2317.0,1373.95,1.1275,19.24,229.4,168.215,1.046
0.445178174,0.562297117216656,3.2119594843875494,3.9402712290260737,257.5,313.5,220.0,0.5,296.445,113.5,10.8285,98.5,18.0,4748.0,1852.15,0.23199999999999998,17.32,465.3,46.8,0.36374316
,0.33455017047087116,3.2473128387180132,4.107827545154213,100.0,188.5,99.5,0.9199999999999999,45.357,94.5,10.054,20.75,2.0,2131.45,1419.45,1.025,17.085,267.03,13.702499999999999,1.8216556000000004
,0.5426370447704462,3.097503000206801,3.1810674857560617,135.0,276.5,137.5,0.34999999999999964,62.54599999999999,117.0,14.94,47.3,8.0,7186.5,5111.5,0.83,25.5,0.0,60.09,1.7871190000000001
0.053677036,0.4337926837997019,3.106553564038799,3.234567886642416,127.5,199.0,125.5,1.86,106.97,76.0,9.8925,58.8,7.0,2854.3,1337.6,0.146,15.755,297.705,11.5045,1.8133625
,0.48156578561927493,2.841841841772376,3.7461495440716566,167.5,286.5,172.5,0.010000000000000231,128.51576199800002,128.5,14.959,49.0,12.0,2603.0,1339.8,0.8235,13.39,284.8,71.6,1.810607
0.073362154,0.2699222275486548,2.832702646930103,3.745814298356433,215.0,373.5,213.49999999999997,0.9199999999999999,125.261,202.5,21.864,41.75,5.0,2463.35,1685.35,1.025,27.655,296.59,13.7075,5.185243800000001
0.05668648,0.3834057168906429,2.852072047323353,3.7099936360476287,127.5,258.5,140.0,2.6799999999999997,108.24340316300001,128.5,20.832500000000003,55.24,7.0,2820.01,1305.03,0.146,13.06,294.04,11.528,3.4081897000000008
0.076189815,0.362916874437664,2.824037119489012,3.7445052090056756,137.5,260.0,149.0,0.0,105.52090316299999,125.5,20.547,73.24,4.0,818.01,602.03,0.145,2.185,86.04,0.056,3.391189700000001
0.065865083,0.2864954580970459,2.843419691555062,3.747704730716914,132.5,195.0,131.0,0.49,77.29076925,92.0,7.497,47.9,4.0,2001.5,828.1,0.5505,14.33,166.95000000000002,125.65,1.2018529999999998
,0.4949456687819539,2.8358795031814066,4.250079932363772,162.5,289.5,162.0,1.41,84.13199999999999,96.5,14.0225,115.3,5.0,6770.5,4467.0,0.8135,7.1,289.0,3.18,2.220119
0.060028938,0.26790419438980057,3.7526521559489705,4.895372398508978,145.0,188.0,123.5,0.78,118.22,92.5,8.234,34.7,6.0,1223.912,481.3,0.43,2.7699999999999996,86.45,23.185000000000002,1.227052015
,0.5547073288474104,3.701940651355679,4.859585493082837,212.5,304.5,195.0,0.1399999999999999,151.1067,129.5,12.4275,67.5,11.0,3410.5,1766.9,0.4265,28.884999999999998,384.5,69.88,1.624
,0.4825721773800097,2.9714458319064123,3.7638256139343995,120.0,200.5,118.5,0.54,75.8005,95.0,8.8255,34.45,5.0,2030.55,850.3,0.322,21.015,193.85,30.360000000000003,1.626691
0.20720632,0.2905757687022339,2.546215961316203,3.5655251096304106,130.0,193.0,113.5,1.2300000000000002,71.6591,89.5,10.268,34.8,6.0,1361.8,703.65,0.237,9.18,137.255,214.5045,2.4573625
0.075533829,0.37900956077853426,3.767704058638023,5.199065052518642,187.5,288.5,181.0,1.9100000000000001,119.91711000000001,125.5,16.052,86.6,6.0,1348.6,1081.2,0.16,12.82,136.41,0.018,4.127225
0.066297197,0.34685390509675645,2.891935897988864,3.833121035049788,187.5,294.0,187.5,1.3599999999999999,126.35718499999999,132.0,15.189,70.0,7.0,2839.4,1636.4,0.268,23.97,369.56,26.855,3.8222912000000004
0.164886217,0.3701751101608771,2.808433236434325,3.916221183627238,177.5,290.5,174.5,0.9500000000000002,116.219,152.5,15.759500000000001,41.0,5.0,1883.4,871.1999999999999,0.322,28.97,193.56,30.105,3.9799442000000007
0.049417035,0.5080947924166616,2.6738377880549513,2.8741899855384263,265.0,404.5,261.0,1.41,190.5775,161.0,17.3905,147.35,10.0,3107.65,1382.0,0.205,11.395,234.05,1.56,3.9890049999999997
0.190548116,0.28160184801484817,2.9092068300381606,3.9312428195056297,150.0,208.5,132.0,0.17000000000000015,117.7341,87.0,8.2925,46.5,8.0,1874.0,978.9,0.219,14.93,151.95,221.65,1.6364379999999998
0.099030393,0.34113867084703703,3.972159304224082,6.24870075637509,170.0,285.0,163.0,0.3799999999999999,85.27000000000001,134.0,14.527999999999999,32.47,8.0,2424.324,1298.5,0.854,9.85,196.7,36.17,2.3581040300000002
0.158791671,0.3934240666583396,1.7561800874768017,2.342644766071032,137.5,210.0,130.0,0.2999999999999998,162.28328449999998,87.5,9.117,37.0,12.0,2171.5,1030.1399999999999,0.165,15.295,194.9,166.15,2.139753
0.077529263,0.34462488897573035,1.6763453344984407,1.9448137161637005,167.5,281.5,160.5,0.96,132.99200000000002,141.5,17.439,38.6,12.0,2288.6,1194.7,0.133,17.29,255.41,35.809,4.676725
0.079638593,0.3495699405481343,4.902882279549489,7.832043250182687,320.0,555.5,325.5,1.04,104.0835,271.5,29.314,98.5,7.0,3574.56,1931.5,2.0915,12.475000000000001,237.55,11.625,5.232260075000001
,0.4737980367391873,3.003223698627862,4.785940778747484,427.5,509.0,350.5,0.47999999999999976,465.85274999999996,214.0,18.561,127.0,28.0,6026.0,2320.8,0.44,20.439999999999998,602.6,145.6,1.2819863200000001
,0.3490258035659871,3.259179049430747,4.950790330016821,232.5,427.5,233.5,0.1200000000000001,77.90350000000001,260.5,33.185,32.9,3.0,515.9,376.04499999999996,0.0,25.64,81.64,0.031,6.52545
0.520985089,0.6719398422609866,3.9676955350490526,6.530261391174947,255.0,302.5,206.5,0.40000000000000013,254.915,115.0,9.788,86.0,18.0,3816.5,1868.1,0.247,17.06,324.8,104.6,0.902
,0.3164771077083647,2.5399926862680675,3.6023459403348506,87.5,182.5,93.5,1.1400000000000001,21.046,90.5,11.340499999999999,22.349999999999998,1.0,1352.7,873.145,0.703,50.6,383.0,74.513,-0.005239449999999923
,0.2901890355665604,3.724852452719572,6.512820145421912,240.0,379.5,233.0,1.9600000000000002,131.8,174.0,22.5145,100.9,6.0,2127.4,1051.3,0.23,19.23,229.615,0.026999999999999996,10.838175
0.069098367,0.2753603408426198,2.3256286356101104,3.3689541080813403,277.5,402.0,262.0,0.38000000000000034,241.809455,195.5,19.404,82.35,13.0,2686.25,1699.55,0.244,34.18,309.925,150.0,5.1570552
0.136013212,0.34832994750637764,3.3952567280994668,5.513774663931361,135.0,196.5,130.0,0.29000000000000004,98.66149999999999,92.5,7.504,44.0,6.0,1969.5,512.815,0.2865,11.75,160.05,21.200000000000003,1.200438
0.304300548,0.6961065367457695,2.9992733612480795,4.526503875728311,137.5,206.0,127.0,0.10999999999999988,56.62349999999999,60.0,8.111,69.33500000000001,5.0,2370.0,1312.865,0.4555,13.040000000000001,268.7,68.95,0.079
,0.1845896370019785,3.0601190015067448,4.276161025420881,110.0,242.0,118.5,1.25,31.485880999000003,146.0,18.85,17.8,2.0,366.69,213.45,0.757,2.51,49.8,0.054,1.834417
,0.2783633955837166,3.2035005156985674,4.918102601929179,250.0,389.0,247.99999999999997,1.63,165.468,184.0,21.0315,87.5,7.0,2822.85,1461.35,0.281,25.455,327.84,11.3575,5.258382300000001
,0.22545299980975164,2.462951463672806,2.462951463672806,110.0,242.0,118.5,1.25,31.485880999000003,146.0,18.85,17.8,2.0,366.69,213.45,0.757,2.51,49.8,0.054,1.834417
0.091778712,0.2791116531404644,2.9348450255087255,3.707197806912532,105.0,188.0,105.5,0.44999999999999973,69.8055,94.5,10.1345,24.65,4.0,3181.5,2271.35,0.45599999999999996,17.91,49.8,7.945,1.6164975
,0.3468407022511272,2.5612176379037086,3.1495727969908995,250.0,316.0,220.0,0.43999999999999995,148.555908,56.5,10.269,120.5,8.0,4110.5,2114.325,0.6355000000000001,18.185000000000002,421.6,33.45,0.36637158000000003
0.184554918,0.39575983843041174,3.074865955917937,3.9995271919295554,185.0,286.0,163.5,0.6800000000000002,79.576,121.0,12.905999999999999,56.2,9.0,3198.912,1549.6,0.751,13.625,309.85,401.135,2.273552015
0.048007986,0.50974585164346,3.151060541446508,4.055487504396434,265.0,403.0,260.0,1.38,193.6365,163.0,17.4495,139.35,10.0,2469.15,1410.0,0.18,12.295000000000002,172.05,1.56,6.06201
0.052026754,0.5487665812078025,3.31366974105151,5.619689290110035,237.5,390.5,239.5,0.8800000000000001,167.104455,160.0,18.637,93.6,12.0,3085.736,1281.75,1.1555,8.145,224.25,14.155,6.23131209
,0.23540105039756837,5.838772534529905,10.124720239022693,277.5,405.0,263.5,0.56,239.31031000000002,191.5,19.234499999999997,88.85,13.0,3261.25,1802.55,0.243,35.18,355.425,50.6,4.8635552
,0.35801607933523893,3.619024108409745,4.06647526741933,320.0,492.5,315.5,1.66,275.82685,224.0,26.773,150.5,12.0,3193.8,1545.8,0.113,29.195,315.97,0.02,13.454352800000002
,0.1735488522826633,3.1258497878701674,4.74787084145,155.0,383.0,165.5,0.3999999999999999,38.0055,241.5,34.945,15.35,2.0,212.685,145.48999999999998,0.0,0.0,0.0,0.0665,0.7916702500000001
0.105154033,0.35400429267159755,3.3285327560221685,4.839776881888022,120.0,252.0,124.0,1.7799999999999998,72.208403163,140.0,21.588,16.810000000000002,7.0,1791.51,966.03,0.244,9.129999999999999,192.73999999999998,35.928,3.682189700000001
0.139651567,0.33277960058032524,2.9173390736886464,4.332686319647551,230.0,307.0,208.0,0.30000000000000004,231.2,147.5,12.717,61.5,11.0,2269.5,1023.0250000000001,0.2805,20.295,138.7,31.95,2.14924758
,0.4114332901669027,3.9868213039704936,6.123983481651421,330.0,482.5,310.5,0.30999999999999983,51.997054750000004,219.0,27.2455,121.85000000000001,9.0,9679.0,4761.5,4.788,38.265,967.05,552.5,-5.66887177
,0.39562727378324936,3.0252882910210057,3.4606032541503455,235.0,435.5,244.0,2.62,73.4535127445,170.0,32.691,102.61,4.0,3231.515,1894.295,1.112,16.565,342.51,15.842,5.289784550000001
,0.3406111852421581,3.009258556551727,4.132551842031226,172.5,286.0,172.0,1.6600000000000001,125.92394,131.5,16.7345,51.6,9.0,3087.6,1806.7,0.14,18.759999999999998,399.41,28.759,3.773725
0.192471778,0.35919859329481973,3.9624431754149714,6.1775375523479115,185.0,269.0,173.5,1.66,122.8175,133.5,12.591,67.65,7.0,2398.095,456.71999999999997,0.468,6.48,450.2,81.81349999999999,1.03055675
0.11630388,0.2373125254658322,4.085751092462381,6.091711295400001,230.0,380.5,226.0,0.2400000000000002,178.569,187.5,17.8095,81.753555,11.0,3824.64,764.6550000000001,0.666,10.6635,444.452,100.29074999999999,2.045198
0.052496088,0.09366546869678927,4.289219315849595,6.679139730765001,75.0,160.5,76.5,0.1900000000000004,36.818999999999996,97.0,10.7445,22.253555,2.0,1561.64,612.305,0.322,18.458499999999997,164.452,30.19075,0.9934535
0.111999021,0.3971000162988501,3.976387002993328,6.302255217328389,260.0,394.0,254.99999999999997,0.0,199.31867499999998,176.5,20.6465,116.5,8.0,2145.85,1213.35,0.183,31.71,238.84,5.5575,5.627882300000001
,0.2373066259238158,2.912599761094644,4.0116954288597135,205.0,367.5,206.5,1.2600000000000002,67.2175,204.5,23.515500000000003,40.55,3.0,1671.9,1099.8,0.703,34.915,222.115,74.5135,6.11384805
,0.7255694373797882,2.9504511904986765,3.96470953706894,547.5,699.0,517.5,0.10000000000000009,169.647735,24.0,18.0705,509.5,6.0,6257.5,3377.0,1.731,27.25,585.0,13.4,0.296375
,0.29196899568962725,4.167401284117814,6.389613112025001,115.0,187.5,114.99999999999999,0.41000000000000014,79.4375,104.5,10.781,24.95,3.0,645.0,377.95,0.0,7.9,44.63,0.2625,2.6921291000000003
0.077619564,0.2732593606072279,3.315975258151558,4.2275550176761705,147.5,329.0,165.0,1.8199999999999998,76.4726047445,185.0,29.676000000000002,49.11,6.0,2570.015,1525.295,0.251,14.765,304.81,0.084,5.475784550000001
,0.3205675455638428,4.697063223419015,7.061922598841389,115.0,196.5,114.0,0.3799999999999999,66.565,80.0,8.86,45.7,7.0,2445.412,1484.5,0.485,13.365,10.5,58.635,1.563552015
0.091633643,0.3795256393912033,3.533984726967744,5.322008131658592,142.5,212.0,141.5,0.5,110.253185,75.0,7.8835,68.0,7.0,3139.0,1731.85,0.23450000000000001,22.355,364.9,34.0,1.444141
0.061222178,0.2867282958736641,5.114285649323675,8.0781634923639,92.5,181.5,92.0,1.4300000000000002,44.314499999999995,94.0,10.7545,22.65,3.0,1596.595,632.6999999999999,0.322,36.8,328.0,30.113500000000002,1.34691275
,0.2509798487393218,3.2562927048082684,4.704395032147966,370.0,516.0,355.0,0.20000000000000018,400.3804,250.0,20.7985,105.0,19.0,3777.5,1628.5500000000002,0.4255,37.865,246.7,29.35,3.898676
,0.26627602778243525,5.662294262788466,8.609095514372948,127.5,256.0,132.0,2.29,75.205403163,145.0,21.916500000000003,26.740000000000002,5.0,604.01,350.58000000000004,0.232,3.5650000000000004,36.09,48.478,6.802379400000001
,0.38785451841768787,4.187432765413029,6.2821604224658305,187.5,298.5,185.0,0.3899999999999997,126.946,127.0,13.298,72.4,9.0,3400.6,1935.0,0.251,19.23,354.7,1.04,2.39467
,0.3785653692661081,3.343081900044368,4.013828730138351,470.0,683.0,452.0,0.29000000000000004,330.846,319.0,25.511499999999998,157.0,21.0,7246.5,1689.9100000000003,1.0455,38.045,615.3,77.65,3.8163139999999998
,0.44754804594881925,2.9906922829259996,4.136949849487503,255.0,288.5,213.5,0.49,219.3525,129.0,11.239,82.6,12.0,2694.5,1061.65,0.6715,9.37,243.70000000000002,113.3,0.71348632
0.06462772,0.2764505449727631,3.8985604287257725,5.323632790311417,147.5,199.5,139.0,0.32000000000000006,121.209,93.0,7.3975,51.5,6.0,1808.0,576.01,0.21750000000000003,10.575,137.45,48.05,1.135438
0.116937304,0.4126568823477345,4.649562226076235,6.961039511017016,260.0,398.0,255.99999999999997,1.26,238.870455,172.0,20.812,96.0,14.0,2506.85,1101.6,0.115,22.155,252.84,13.7575,10.090764600000002
,0.253591310315028,4.71397043731846,7.265772287823369,120.0,252.0,124.0,1.7799999999999998,72.208403163,140.0,21.588,16.810000000000002,7.0,1791.51,966.03,0.244,9.129999999999999,192.73999999999998,35.928,3.682189700000001
,0.30586030223926103,4.747617973466719,7.151984656984187,252.5,385.0,244.99999999999997,1.5999999999999999,142.333954,167.5,20.9955,80.0,6.0,2049.85,1305.85,0.556,23.755000000000003,210.69,7.907500000000001,5.139382300000001
0.123084843,0.4032756157773041,2.454894498156455,3.683062229605646,162.5,340.0,181.5,2.6799999999999997,146.9976047445,170.0,29.262500000000003,81.11,11.0,2215.015,536.795,0.0,5.5649999999999995,177.81,0.084,10.203569100000003
,0.38967511723241977,4.084070347107668,5.478185431434141,157.5,222.5,147.5,1.4,118.5222845,40.0,7.6690000000000005,98.4,10.0,2418.5,1224.79,0.391,10.94,246.8,318.0,1.16659
,0.4436207064785453,4.67623624289312,7.0147534622686365,250.0,450.0,265.5,0.3900000000000001,79.063761998,244.0,26.02,54.099999999999994,4.0,1629.7359999999999,896.3,1.855,4.3549999999999995,65.55,0.81,3.862263045
,0.3248855859229755,3.014089752284877,4.083731239292432,185.0,292.5,175.5,0.9999999999999998,106.440022,128.5,13.469000000000001,62.9,8.0,2075.6,1248.5,0.477,11.93,170.2,1.04,4.04134
0.084953715,0.23408356080946738,2.7450682168175664,3.751195268240622,205.0,355.0,206.49999999999997,0.08000000000000007,126.8595,208.5,24.98,35.2,5.0,536.55,430.49499999999995,0.0,31.71,88.67999999999999,0.020499999999999997,4.345382300000001
,0.29429462421145713,3.6775519163765944,5.576856475697967,267.5,459.0,266.5,1.4600000000000002,162.82,240.5,29.852,63.2,12.0,3442.2,2184.4,0.133,30.32,452.82,86.518,7.63358
,0.4007305648866769,3.0472401810614267,4.199444381104031,347.5,504.5,337.0,0.9100000000000001,283.472,246.0,23.121000000000002,96.5,14.0,3981.95,1940.75,0.82,45.44499999999999,405.17999999999995,48.8625,3.7737941000000004
0.269885117,0.5942384038628891,3.058295256204773,4.153822681380703,267.5,355.5,246.0,1.2500000000000002,183.7285,40.5,10.1775,224.2,13.0,3858.5,2383.5,0.3675,23.005,446.0,147.0,0.8299000000000001
,0.3111386899553566,3.141817463632488,4.1570620049289895,130.0,195.5,115.5,0.6500000000000001,69.9641,86.0,8.968,37.2,6.0,1601.412,810.55,0.4845,6.59,132.3,214.635,1.6895520149999999
0.093836044,0.3204499168043569,2.923218841750453,4.4925688786869555,310.0,489.0,315.0,0.08999999999999986,222.37376199799996,247.0,23.9935,82.0,11.0,2447.5,1401.3500000000001,1.0585,29.375,124.49999999999999,42.900000000000006,3.702921
,0.34512056448954415,3.025973796520181,4.551187833024696,192.5,296.5,191.0,1.63,125.51599999999999,130.0,15.1265,77.0,6.0,2656.9,1328.4,0.281,20.17,313.06,11.355,3.5765882000000007
0.108456488,0.28799996635449376,3.105975750069729,4.281587144728281,145.0,323.5,157.0,2.3200000000000003,54.4956547445,184.5,29.513,47.11,5.0,1600.015,1145.295,0.488,11.265,180.81,46.992000000000004,5.434784550000002
,0.28870712709897045,3.8170690525728923,6.211364244139523,330.0,558.5,345.0,0.14000000000000012,192.7089875,278.0,28.6215,85.25,15.0,4155.5,4011.5,1.3325,23.6,333.25,27.4,2.1498615
,0.4079734038240356,3.8407240799393376,6.183238014711539,190.0,297.5,186.5,1.86,151.46885,115.0,16.113,123.1,7.0,2768.6,1186.2,0.113,14.465,277.26000000000005,0.018,7.22545
,0.2663948514260098,3.8303732622582487,6.439212360177711,280.0,399.0,257.5,0.8300000000000001,218.279205,193.0,19.625999999999998,80.35,11.0,2197.75,1484.05,0.443,30.18,232.925,80.4,4.6640552
0.069294821,0.426780301156965,4.345184816215041,7.197696403044727,295.0,476.0,294.5,0.5300000000000002,169.85000000000002,246.0,24.148,72.1,9.0,2984.736,1482.9,1.303,21.924999999999997,210.95,24.835,4.161656045
0.069145041,0.3343375698688487,3.05614811239456,4.635577293788116,182.5,293.0,179.5,1.06,173.0075,136.5,15.726500000000001,52.0,13.0,3281.9,1992.4,0.138,27.57,381.56,24.005,3.4385882000000008
,0.2738333445471332,3.601625655199154,5.9142539117201505,182.5,285.5,173.0,1.31,112.594,146.5,16.507,40.335,6.0,921.9,612.265,0.388,14.21,86.96,58.005,6.727176400000001
,0.4082116949808899,4.025527101192796,6.796321425430728,167.5,278.5,166.00000000000003,0.28,60.320461998,127.5,14.2995,49.5,6.0,2055.5,1180.3,0.9785,11.315,239.10000000000002,90.9,1.3246069999999999
0.049855457,0.507568268988297,3.97796026760203,6.485802927856573,265.0,405.0,262.0,1.42,188.91033,160.0,17.3645,151.35,10.0,3329.65,1337.0,0.192,13.495000000000001,255.05,7.03,3.512005
0.096562851,0.4106924895455647,3.311942290959706,3.413761482986642,252.5,385.0,244.99999999999997,1.5999999999999999,142.333954,167.5,20.9955,80.0,6.0,2049.85,1305.85,0.556,23.755000000000003,210.69,7.907500000000001,5.139382300000001
,0.3795858593466141,5.4004257278986065,8.723092253652496,182.5,299.0,184.5,0.8499999999999999,170.89100000000002,127.5,13.684000000000001,62.9,14.0,3923.1,2330.0,0.133,22.73,471.7,87.02,2.4288
,0.34620553244367136,4.142258558540786,5.574682664540002,207.5,362.5,219.0,0.36999999999999966,118.38789249999999,186.0,20.313499999999998,50.65,9.0,3864.0,3545.0,0.8474999999999999,0.0,97.19999999999999,1.59,1.8370595
0.097858038,0.3791582408940561,3.303079156512557,3.4347182864589505,120.0,195.0,111.5,0.3799999999999999,69.24000000000001,84.0,9.347999999999999,22.77,7.0,2065.412,1105.5,0.488,9.235,191.45,36.035,1.3195520150000002
