Exyzz,MPE,Bond_mean,Bond_max,R_atom,R_vdw,R_cov,D_EN,m_atom,N_mendeleev,I,DP,Density,T_boil,T_melt,H_spec,H_fuse,H_evap,TC,EA
1.0,0.35400429267159755,3.3285327560221685,4.839776881888022,120.0,252.0,124.0,1.7799999999999998,72.208403163,140.0,21.588,16.810000000000002,7.0,1791.51,966.03,0.244,9.129999999999999,192.73999999999998,35.928,3.682189700000001
1.0,0.33277960058032524,2.9173390736886464,4.332686319647551,230.0,307.0,208.0,0.30000000000000004,231.2,147.5,12.717,61.5,11.0,2269.5,1023.0250000000001,0.2805,20.295,138.7,31.95,2.14924758
13.5,0.39562727378324936,3.0252882910210057,3.4606032541503455,235.0,435.5,244.0,2.62,73.4535127445,170.0,32.691,102.61,4.0,3231.515,1894.295,1.112,16.565,342.51,15.842,5.289784550000001
1.0,0.09366546869678927,4.289219315849595,6.679139730765001,75.0,160.5,76.5,0.1900000000000004,36.818999999999996,97.0,10.7445,22.253555,2.0,1561.64,612.305,0.322,18.458499999999997,164.452,30.19075,0.9934535
0.0,0.2732593606072279,3.315975258151558,4.2275550176761705,147.5,329.0,165.0,1.8199999999999998,76.4726047445,185.0,29.676000000000002,49.11,6.0,2570.015,1525.295,0.251,14.765,304.81,0.084,5.475784550000001
1.0,0.3205675455638428,4.697063223419015,7.061922598841389,115.0,196.5,114.0,0.3799999999999999,66.565,80.0,8.86,45.7,7.0,2445.412,1484.5,0.485,13.365,10.5,58.635,1.563552015
-1.0,0.3795256393912033,3.533984726967744,5.322008131658592,142.5,212.0,141.5,0.5,110.253185,75.0,7.8835,68.0,7.0,3139.0,1731.85,0.23450000000000001,22.355,364.9,34.0,1.444141
1.5,0.2509798487393218,3.2562927048082684,4.704395032147966,370.0,516.0,355.0,0.20000000000000018,400.3804,250.0,20.7985,105.0,19.0,3777.5,1628.5500000000002,0.4255,37.865,246.7,29.35,3.898676
1.5,0.38785451841768787,4.187432765413029,6.2821604224658305,187.5,298.5,185.0,0.3899999999999997,126.946,127.0,13.298,72.4,9.0,3400.6,1935.0,0.251,19.23,354.7,1.04,2.39467
42.5,0.44754804594881925,2.9906922829259996,4.136949849487503,255.0,288.5,213.5,0.49,219.3525,129.0,11.239,82.6,12.0,2694.5,1061.65,0.6715,9.37,243.70000000000002,113.3,0.71348632
1.0,0.2764505449727631,3.8985604287257725,5.323632790311417,147.5,199.5,139.0,0.32000000000000006,121.209,93.0,7.3975,51.5,6.0,1808.0,576.01,0.21750000000000003,10.575,137.45,48.05,1.135438
0.0,0.4126568823477345,4.649562226076235,6.961039511017016,260.0,398.0,255.99999999999997,1.26,238.870455,172.0,20.812,96.0,14.0,2506.85,1101.6,0.115,22.155,252.84,13.7575,10.090764600000002
3.0,0.253591310315028,4.71397043731846,7.265772287823369,120.0,252.0,124.0,1.7799999999999998,72.208403163,140.0,21.588,16.810000000000002,7.0,1791.51,966.03,0.244,9.129999999999999,192.73999999999998,35.928,3.682189700000001
4.0,0.38967511723241977,4.084070347107668,5.478185431434141,157.5,222.5,147.5,1.4,118.5222845,40.0,7.6690000000000005,98.4,10.0,2418.5,1224.79,0.391,10.94,246.8,318.0,1.16659
10.0,0.4436207064785453,4.67623624289312,7.0147534622686365,250.0,450.0,265.5,0.3900000000000001,79.063761998,244.0,26.02,54.099999999999994,4.0,1629.7359999999999,896.3,1.855,4.3549999999999995,65.55,0.81,3.862263045
13.0,0.3248855859229755,3.014089752284877,4.083731239292432,185.0,292.5,175.5,0.9999999999999998,106.440022,128.5,13.469000000000001,62.9,8.0,2075.6,1248.5,0.477,11.93,170.2,1.04,4.04134
6.5,0.23408356080946738,2.7450682168175664,3.751195268240622,205.0,355.0,206.49999999999997,0.08000000000000007,126.8595,208.5,24.98,35.2,5.0,536.55,430.49499999999995,0.0,31.71,88.67999999999999,0.020499999999999997,4.345382300000001
58.0,0.5942384038628891,3.058295256204773,4.153822681380703,267.5,355.5,246.0,1.2500000000000002,183.7285,40.5,10.1775,224.2,13.0,3858.5,2383.5,0.3675,23.005,446.0,147.0,0.8299000000000001
6.0,0.3204499168043569,2.923218841750453,4.4925688786869555,310.0,489.0,315.0,0.08999999999999986,222.37376199799996,247.0,23.9935,82.0,11.0,2447.5,1401.3500000000001,1.0585,29.375,124.49999999999999,42.900000000000006,3.702921
0.0,0.34512056448954415,3.025973796520181,4.551187833024696,192.5,296.5,191.0,1.63,125.51599999999999,130.0,15.1265,77.0,6.0,2656.9,1328.4,0.281,20.17,313.06,11.355,3.5765882000000007
0.5,0.28799996635449376,3.105975750069729,4.281587144728281,145.0,323.5,157.0,2.3200000000000003,54.4956547445,184.5,29.513,47.11,5.0,1600.015,1145.295,0.488,11.265,180.81,46.992000000000004,5.434784550000002
2.0,0.426780301156965,4.345184816215041,7.197696403044727,295.0,476.0,294.5,0.5300000000000002,169.85000000000002,246.0,24.148,72.1,9.0,2984.736,1482.9,1.303,21.924999999999997,210.95,24.835,4.161656045
1.0,0.3343375698688487,3.05614811239456,4.635577293788116,182.5,293.0,179.5,1.06,173.0075,136.5,15.726500000000001,52.0,13.0,3281.9,1992.4,0.138,27.57,381.56,24.005,3.4385882000000008
8.0,0.4082116949808899,4.025527101192796,6.796321425430728,167.5,278.5,166.00000000000003,0.28,60.320461998,127.5,14.2995,49.5,6.0,2055.5,1180.3,0.9785,11.315,239.10000000000002,90.9,1.3246069999999999
0.5,0.4106924895455647,3.311942290959706,3.413761482986642,252.5,385.0,244.99999999999997,1.5999999999999999,142.333954,167.5,20.9955,80.0,6.0,2049.85,1305.85,0.556,23.755000000000003,210.69,7.907500000000001,5.139382300000001
2.0,0.3795858593466141,5.4004257278986065,8.723092253652496,182.5,299.0,184.5,0.8499999999999999,170.89100000000002,127.5,13.684000000000001,62.9,14.0,3923.1,2330.0,0.133,22.73,471.7,87.02,2.4288
30.0,0.34620553244367136,4.142258558540786,5.574682664540002,207.5,362.5,219.0,0.36999999999999966,118.38789249999999,186.0,20.313499999999998,50.65,9.0,3864.0,3545.0,0.8474999999999999,0.0,97.19999999999999,1.59,1.8370595
12.0,0.3791582408940561,3.303079156512557,3.4347182864589505,120.0,195.0,111.5,0.3799999999999999,69.24000000000001,84.0,9.347999999999999,22.77,7.0,2065.412,1105.5,0.488,9.235,191.45,36.035,1.3195520150000002
3.5,0.423219902255768,5.368196784618901,8.696808405777233,242.5,390.5,241.99999999999997,1.0099999999999998,142.39000000000001,173.0,18.042,93.35,9.0,3217.15,1701.5,0.523,17.245,300.85,11.729999999999999,3.070505
1.0,0.5169296826957327,3.325337640485299,3.502313107712382,180.0,282.5,173.0,1.8,57.927954,112.5,16.2405,63.1,3.0,1790.6,1079.2,0.556,14.31,186.76,7.909000000000001,3.706725
8.0,0.3812015610768164,5.40654085235574,8.786295818638614,355.0,515.0,344.0,0.050000000000000266,313.15999999999997,249.0,22.1215,100.0,16.0,3802.5,1987.9500000000003,0.5065,46.945,269.9,45.88,4.002314
17.0,0.39531791454510384,2.864976406609493,3.9578616915023876,127.5,200.0,118.0,0.34999999999999964,92.69550000000001,84.5,9.044,27.52,8.0,2185.55,1157.5,0.244,11.235,216.04999999999998,36.16,1.2913350000000001
0.0,0.349099759047387,3.7539566126614314,6.203337171560358,165.0,281.5,161.5,0.96,85.985,137.0,16.64,50.6,7.0,2325.1,1463.7,0.238,19.16,40.82,58.509,4.1377250000000005
0.0,0.3621370651320547,2.947390307497909,2.947390307497909,182.5,290.0,176.5,0.6800000000000002,131.35675,140.0,15.539000000000001,54.0,9.0,2331.9,1385.4,0.244,21.47,276.56,75.005,3.932088200000001
0.0,0.28057204909605016,0.0,0.0,270.0,399.0,261.0,1.8599999999999999,189.308735,168.5,20.503,139.0,7.0,2362.85,995.8499999999999,0.197,20.105,245.34,6.7075000000000005,5.280382300000001
42.0,0.4403786869451124,2.0231945053527176,2.3372726417048137,285.0,477.0,288.5,0.9500000000000002,99.0315,197.0,22.286,116.1,9.0,4726.736,2739.0,1.5829999999999997,19.345,475.75,31.105,3.640656045
0.5,0.3065790918260252,0.0,0.0,240.0,388.5,240.99999999999997,0.9199999999999999,143.92725000000002,175.0,18.001,86.85,10.0,3262.15,1815.0,0.485,16.595,319.55,16.13,3.293505
5.5,0.35190807314105765,1.9975705094078495,2.4062671604738073,317.5,491.0,314.0,0.5,240.2165,247.5,23.236,86.35,13.0,3345.15,1638.9,0.41,27.924999999999997,284.75,25.21,4.077005
0.0,0.33380550641156526,2.5666722331208005,3.2658332297956436,207.5,306.0,197.0,0.56,175.858075,137.0,14.0095,72.4,10.0,3032.5,1609.2,0.243,27.42,334.45,50.6,3.3340368
145.5,0.6622675699169778,3.317895516366276,4.0399684951613155,255.0,304.0,208.5,0.40000000000000013,299.495,115.5,10.327,78.5,23.0,4380.0,2240.1,0.1935,20.16,531.4,92.2,0.927
2.5,0.263403524396769,3.6835494796743817,4.430983662746929,182.5,291.5,175.5,0.7599999999999998,177.446,142.5,16.289,45.0,13.0,2381.9,1288.4,0.133,21.450000000000003,264.56,35.805,4.427588200000001
12.0,0.3446835869538424,3.8656890480865145,4.834903355359,237.5,338.5,228.5,0.0,195.24035,73.5,9.8125,190.0,10.0,4847.5,2234.3,0.344,36.8,553.0,41.2,1.7813560000000002
1.0,0.337730960942575,3.225151725143147,4.355860456497819,140.0,262.5,149.5,2.98,39.037403163,109.5,20.4765,84.14,1.0,963.51,609.53,0.653,5.109999999999999,83.34,0.056,3.4134647000000005
23.5,0.4099406541975735,2.5724062851814358,4.11873709219639,187.5,301.0,189.0,1.0499999999999998,169.44494,125.5,13.5265,65.9,13.0,3807.1,2124.5,0.14,17.58,438.7,29.27,2.18167
1.0,0.24004015181856125,4.506559753829374,5.973447692515823,205.0,300.5,199.5,1.96,99.943,111.5,14.8665,101.4,3.0,1210.4,821.9,0.653,15.17,106.36,0.01,3.3758632000000004
0.0,0.23848797541768085,3.7832164642172703,4.910696669704131,105.0,179.0,96.0,2.05,63.433301581500004,89.0,12.498000000000001,29.37,5.0,1285.005,644.3149999999999,0.237,6.2299999999999995,130.32,214.514,2.35159485
4.5,0.1668296078232188,3.425368528853562,3.983278092522072,235.0,434.0,234.5,1.3900000000000001,145.7585,244.5,29.023,50.95,8.0,2043.285,986.0999999999999,0.41,40.16,390.4,24.4705,3.23767025
11.5,0.3705332101886335,2.7468476291762363,3.7021770495895057,105.0,195.0,109.5,0.6800000000000002,30.0725,94.0,9.2555,28.349999999999998,2.0,1672.912,1034.5,0.7175,25.915,196.75,74.635,1.733312565
26.0,0.43324724435497336,2.8964336078125945,3.39990693503636,122.5,198.5,121.5,0.6200000000000001,75.38499999999999,95.0,8.8515,36.2,4.0,1630.412,445.55,0.477,4.15,153.25,33.535,1.594585515
1.0,0.3814878358537239,2.890345955310101,3.3780239366566294,140.0,208.0,128.0,0.10000000000000009,117.00999999999999,85.0,8.6725,32.07,9.0,2338.0,1273.85,0.2225,17.575,211.1,43.05,1.266438
2.0,0.3491570604635863,3.6648070433614395,4.566335067726557,117.5,198.0,117.0,0.6800000000000002,109.1335,78.5,9.096499999999999,40.7,11.0,3308.912,1919.5,0.435,17.615,357.25,24.135,1.113552015
24.0,0.1453268049451289,2.745016412840962,3.045350428745954,265.0,565.0,278.5,1.2599999999999998,114.919095,342.5,43.814,43.25,8.0,1101.475,1227.0,0.656,0.0,64.8,0.135,4.45678375
9.0,0.41353944769644874,4.053679663835979,6.273617429267264,122.5,203.0,122.5,0.34999999999999964,134.6005,81.0,9.095,42.95,13.0,3129.05,1908.5,0.131,18.465,398.85,0.52,1.560335
1.0,0.3339362996444186,2.4330190372792604,3.791320615697478,105.0,179.0,96.0,2.05,63.433301581500004,89.0,12.498000000000001,29.37,5.0,1285.005,644.3149999999999,0.237,6.2299999999999995,130.32,214.514,2.35159485
0.5,0.4046194533013167,2.9351926193772147,3.832988369917753,167.5,340.0,183.0,2.84,100.61860474449999,168.5,28.892500000000002,109.61,5.0,1798.015,727.295,0.205,4.3149999999999995,154.31,0.084,6.059784550000002
74.5,0.32769295153850136,3.3883434687769802,4.657706404213219,220.0,415.0,218.5,1.63,93.72149999999999,231.5,26.413999999999998,57.95,7.0,2811.285,385.13,0.744,11.18,540.6,28.140500000000003,2.62167025
7.0,0.30945657198356424,4.08846320870912,6.489378737721277,200.0,311.0,198.0,0.1499999999999999,135.8025,140.0,12.6835,61.65,7.0,3222.0,1745.4,0.5565,45.379999999999995,386.7,98.93,1.74076055
0.0,0.37736382227593895,4.087906114795233,6.489993907106303,177.5,286.5,175.0,1.86,124.69500000000001,129.5,16.372500000000002,66.1,8.0,2973.6,1423.7,0.146,18.96,307.91,11.509,3.6197250000000003
5.5,0.2775595652231079,2.980211041055865,3.377982702047006,417.5,662.0,413.99999999999994,0.7399999999999998,267.1505,335.5,30.379,122.25,17.0,5071.25,1527.93,0.744,18.665,419.55,29.400000000000002,5.481674999999999
6.0,0.3121739135243375,3.0856441399705195,4.4954847727864555,85.0,181.0,89.5,1.54,22.042,93.5,10.8805,21.299999999999997,1.0,1359.095,868.9,0.703,50.6,383.0,74.5135,1.4253173000000001
2.0,0.36320438766242846,3.603772236281449,5.263444678934639,155.0,285.0,161.0,0.6800000000000002,46.102500000000006,144.0,14.4355,38.05,3.0,2031.824,1227.5,1.0835,26.53,202.0,74.77,2.77186458
20.5,0.3789506366615429,3.4317789451143503,4.760864924211025,172.5,289.0,176.5,0.98,78.513185,124.0,13.738999999999999,68.4,6.0,3225.324,1756.5,0.866,14.63,350.5,27.12,2.53580703
0.0,0.30631235128717715,3.526122817048164,4.4495353411085725,205.0,355.0,206.49999999999997,0.08000000000000007,126.8595,208.5,24.98,35.2,5.0,536.55,430.49499999999995,0.0,31.71,88.67999999999999,0.020499999999999997,4.345382300000001
0.5,0.34951670755851044,3.3433598255872594,4.753169051146388,327.5,561.5,333.5,1.28,169.395,272.5,29.3125,100.0,11.0,4529.5599999999995,2216.5,1.903,15.625,313.75,12.175,5.199760075
-0.5,0.322452876215873,2.9150585820660946,4.079610168577164,105.0,195.0,109.5,0.6800000000000002,30.0725,94.0,9.2555,28.349999999999998,2.0,1672.912,1034.5,0.7175,25.915,196.75,74.635,1.733312565
21.0,0.41114271936170055,3.4748026837746773,4.9598649933157715,185.0,295.0,176.0,0.34999999999999964,132.181,135.0,13.920000000000002,41.97,10.0,2664.6,1402.5,0.244,13.85,245.89999999999998,36.42,2.30167
1.0,0.27989977048750364,3.1334500247450046,4.000119667115982,165.0,336.5,177.5,2.76,72.9505247445,165.0,29.238500000000002,86.61,3.0,1933.015,977.795,0.284,6.515,193.31,0.084,5.255284550000002
1.0,0.3147068740007283,3.8159042281723172,5.739774801595196,182.5,288.5,171.0,0.6399999999999999,108.3177,134.5,13.5715,53.4,9.0,2460.6,1353.0,0.443,14.035,249.0,45.970000000000006,2.59867
-3.0,0.34381372372733643,4.020506841970051,6.289027152642519,242.5,337.5,223.5,0.7899999999999998,125.22084,56.5,10.1665,182.0,7.0,5162.5,2400.3,0.44499999999999995,29.9,531.0,60.2,0.9233560000000001
0.5,0.2992562616255133,4.382808738478706,6.841754757464277,247.5,384.0,238.5,2.06,122.627735,167.0,22.228,129.4,5.0,2222.9,855.3,0.197,13.865,231.615,6.7135,5.6540875
2.0,0.3471520043669902,3.334791583186713,4.4105697842125045,217.5,317.5,213.0,0.77,173.212,124.0,12.3255,94.0,9.0,3588.0,1785.2,0.3415,27.509999999999998,333.3,25.65,2.1838759999999997
5.0,0.33610134980909734,3.782750182109448,4.866839210467994,265.0,455.0,275.5,0.3999999999999999,123.011595,245.0,25.329,59.099999999999994,8.0,1952.7359999999999,1669.0,1.426,3.69,48.15,0.81,3.919656045
4.5,0.33949093792153384,3.183485407333052,4.441442025196642,210.0,308.5,195.5,0.55,155.069022,129.5,12.726,72.0,9.0,2380.5,1481.2,0.4395,24.61,160.3,28.6,3.9417519999999997
0.5,0.3724793698759659,4.685602456291089,7.272568132207199,117.5,194.5,111.5,0.7600000000000002,116.20828449999999,90.0,11.092500000000001,25.3,10.0,1659.3,754.89,0.129,9.545,180.205,159.0045,2.9606775
0.5,0.36985969427103427,4.540581977772657,7.577375940244817,162.5,336.0,179.5,2.76,109.7476047445,174.5,29.099500000000003,87.11,5.0,1545.015,922.795,0.173,1.53,155.31,5.3919999999999995,5.277784550000002
20.0,0.32643232129278,3.553506753949237,4.848057308709355,182.5,296.5,177.5,0.34999999999999964,176.513,135.5,14.231000000000002,52.9,15.0,3008.1,1512.5,0.133,16.11,294.7,36.32,3.08467
15.5,0.6513283289884694,4.005040692539066,6.240278718706725,197.5,322.0,197.0,0.8999999999999999,115.5684,108.5,10.8635,105.8,7.0,4462.0,2651.0,0.7805,101.2,590.0,298.0,1.5595211
0.5,0.31243557074900385,3.2440678780409025,4.205550997903069,192.5,309.0,182.0,0.1499999999999999,236.452069,123.5,14.100999999999999,50.45,21.0,3559.05,1582.58,0.258,15.295,369.85,318.26,3.318965
6.0,0.5458498694312625,4.700828642738384,7.848169052001186,195.0,308.0,198.5,0.98,108.93637,98.0,11.937999999999999,107.7,9.0,5373.912,2934.0,0.634,27.415,685.25,53.835,1.9559580150000002
0.0,0.3298128657862594,2.8542900638363067,4.351241000444751,205.0,300.5,199.5,1.96,99.943,111.5,14.8665,101.4,3.0,1210.4,821.9,0.653,15.17,106.36,0.01,3.3758632000000004
17.5,0.4111632864732931,3.5205396550031867,5.147690606289801,282.5,418.0,277.5,0.5,237.85318499999997,177.0,16.892500000000002,106.0,13.0,4402.0,2454.55,0.4355,40.265,414.7,48.300000000000004,3.4150169999999997
0.0,0.3835548916324695,3.029818643224309,4.402213030545732,135.0,204.0,133.0,1.66,129.197,76.5,9.3175,62.0,8.0,2900.95,1384.45,0.146,17.835,302.28,11.5025,1.6887941000000002
